AREA;EQUIPMENT GROUP;TAG;DESCRIPTION
Oil Plant;Separators;20VA101;Alv.Inlet Sep
Oil Plant;Separators;20VA201;3rd part Sep
Oil Plant;Separators;20VA002;2nd stage Sep
Oil Plant;Separators;20VJ001;Compact Elec. Coalesher
Oil Plant;Separators;20VA003;OIW separator
Oil Plant;Pumps;21PA001A;Crude oil pump to cargo
Oil Plant;Pumps;21PA001B;Crude oil pump to cargo
Oil Plant;Pumps;512.21A-1;Cargo oil pump 
Oil Plant;Pumps;512.21A-2;Cargo oil pump 
Oil Plant;Pumps;512.21A-3;Cargo oil pump 
Oil Plant;Pumps;512.21A-4;Cargo oil pump 
Oil Plant;Pumps;512.21C-1;Cargo pump vaccum unit
Oil Plant;Pumps;512.21C-2;Cargo pump vaccum unit
Oil Plant;Pumps;513.22A-1;Cargo Stripping pump
Oil Plant;Pumps;513.22A-2;Cargo Stripping pump
Oil Plant;Heat Exchangers;20HA102;Alvheim Crudeoil Heater
Oil Plant;Heat Exchangers;20HA202;3rd party Crudeoil Heater
Oil Plant;Heat Exchangers;21HB001A;Crude oil Cooler to cargo
Oil Plant;Heat Exchangers;21HB001B;Crude oil Cooler to cargo
Oil Plant;Metering;20IX104;Alvheim sep crudeoil meter
Oil Plant;Metering;20IX105;Alvheim sep crudeoil meter
Oil Plant;Metering;20IX204;3rd party sep crudeoil meter
Oil Plant;Metering;20IX205;3rd party sep crudeoil meter
Oil Plant;Metering;21IX101;Oil meter to cargo
Oil Plant;Metering;21IH001;Oil meter to offshore loading
Produced Water Treatment Plant;Separators;44VD001;Produced water degassing drum
Produced Water Treatment Plant;Pumps;44PA002A;Coalesher Produced water pump
Produced Water Treatment Plant;Pumps;44PA002B;Coalesher Produced water pump
Produced Water Treatment Plant;Pumps;44PA001A;2nd stg. Sep prod water pump
Produced Water Treatment Plant;Pumps;44PA001B;2nd stg. Sep prod water pump
Produced Water Treatment Plant;Pumps;29PA001A;Water Injection BOOSTER pump
Produced Water Treatment Plant;Pumps;29PA001B;Water Injection BOOSTER pump
Produced Water Treatment Plant;Pumps;29PA002A;Water Injection pump
Produced Water Treatment Plant;Pumps;29PA002B;Water Injection pump
Produced Water Treatment Plant;Cylones and cooler;29HB001;Water injection cooler
Produced Water Treatment Plant;Cylones and cooler;44CE001;Alvheim sep Cyclone
Produced Water Treatment Plant;Cylones and cooler;44CE002;Alv/3rd party sep Cyclone
Produced Water Treatment Plant;Cylones and cooler;44CE003;3rd party sep Cyclone
Produced Water Treatment Plant;Cylones and cooler;44CE004;2nd stg+ coalesher Cyclone
Produced Water Treatment Plant;Cylones and cooler;44CE005;2nd stg+ coalesher Cyclone
Produced Water Treatment Plant;Metering;20IX103;Alvheim sep water meter
Produced Water Treatment Plant;Metering;20IX203;3rd party sep water meter
Produced Water Treatment Plant;Metering;20IX300;2nd stg sep water meter
Gas Plant;Compressors;43KF001;Blower 1 stg
Gas Plant;Compressors;43KF002;Blower 2nd stg
Gas Plant;Compressors;23KA101;1st stg Recompressor
Gas Plant;Compressors;23KA201;1st stg Recompressor
Gas Plant;Compressors;23KA102;2nd stg Recompressor
Gas Plant;Compressors;23KA202;2nd stg Recompressor
Gas Plant;Compressors;27KA101;1st stg Exp. Comp
Gas Plant;Compressors;27KA201;1st stg Exp. Comp
Gas Plant;Compressors;27KA102;2nd stg Exp Comp
Gas Plant;Compressors;27KA202;2nd stg Exp Comp
Gas Plant;Coolers;43HA001;Interstage Cooler
Gas Plant;Coolers;23HB101A;1 st stg Recomp Suct Cooler
Gas Plant;Coolers;23HB101B;1 st stg Recomp Suct Cooler
Gas Plant;Coolers;23HB201A;1 st stg Recomp Suct Cooler
Gas Plant;Coolers;23HB201B;1 st stg Recomp Suct Cooler
