AREA;EQUIPMENT GROUP;TAG;DESCRIPTION
;;13-XX-002;Hot Crude Flushing Pump Skid
;;18-UD-180;Tilje T1
;;18-UD-280;Skarv A T2
;;18-UD-380;Idun T3
;;18-UD-580;Skarv BC T5
;;18-UD-680;Skarv BC T6
;;20-HA-001A;Crude Heater
;;20-HA-001B;Crude Heater
;;20-HA-002;Crude/ Crude Exchanger
;;20-HA-003A;Crude Cooler
;;20-HA-003B;Crude Cooler
;;20-HA-004;Start Up Heater
;;20-PA-001A;Topside Crude Pump
;;20-PA-001B;Topside Crude Pump
;;20-PA-001C;Topside Crude Pump
;;20-PG-010A;Produced Water Pump
;;20-PG-010B;Produced Water Pump
;;20-PG-010C;Produced Water Pump
;;20-VA-001;1st Stage Separator
;;20-VA-002;2nd Stage Separator
;;20-VA-003;3rd Stage Separator
;;20-VA-004;Test Separator
;;20-VJ-001;Electrostatic Coalescer
;;21-JX-001;Crude Metering Package
;;21-JX-002;Crude Metering Sampling Cabinet
;;21-JX-003;Static Mixer for Crude Export Sampling
;;21-S-0900;Cargo Offloading Hose
;;23-KZ-001;1st and 2nd Stage Compressor Skid
;;23-XX-001;1st and 2nd Stage Seal Gas Cond Skid
;;23-KZ-103;3rd Stage Compressor Skid Train 1
;;23-KZ-203;3rd Stage Compressor Skid Train 2
;;23-XX-002;3rd Stage Seal Gas Conditioning Skid
;;24-HA-001A;Wet Gas Coolers
;;24-HA-001B;Wet Gas Coolers
;;24-HA-001C;Wet Gas Coolers
;;24-HA-002;Glycol Contactor Superheater
;;24-VE-001;Glycol Contactor
;;24-VG-001;Glycol Contactor Scrubber
;;26-KZ-001;Injection Compressor Skid
;;26-VG-001;Injection Compressor Suction Scrubber
;;26-XX-002;Gas Seal Conditioning Skid
;;27-KZ-101;Export Compressor Skid Train 1
;;27-VG-101;Export Compressor Suction Scrubber
;;27-KZ-201;Export Compressor Skid Train 2
;;27-VG-201;Export Compressor Suction Scrubber
;;27-XX-001;Seal Gas Conditioning Skid
;;27-JX-001;Export Gas Meter
;;27-JX-002;Export Gas Analyser Cabinet
;;27-JX-003;Export Gas Back Flow Meter
;;27-JZ-351;Export Gas Analyser Pressure Reduction S
;;27-FE-001;Export Gas Back Flow Meter and Heater
;;33-TB-510;Cargo Tank 1 P
;;33-TB-511;Cargo Tank 1 C
;;33-TB-512;Cargo Tank 1 S
;;33-TB-520;Cargo Tank 2 P
;;33-TB-522;Cargo Tank 2 S
;;33-TB-530;Cargo Tank 3 P
;;33-TB-531;Cargo Tank 3 C
;;33-TB-532;Cargo Tank 3 S
;;33-TB-540;Cargo Tank 4 P
;;33-TB-541;Cargo Tank 4 C
;;33-TB-542;Cargo Tank 4 S
;;33-TB-550;Cargo Tank 5 P
;;33-TB-551;Cargo Tank 5 C
;;33-TB-552;Cargo Tank 5 S
;;33-TB-560;Cargo Tank 6 P
;;33-TB-561;Cargo Tank 6 C
;;33-TB-562;Cargo Tank 6 S
;;33-TB-570;Slop Tank P
;;33-TB-580;Slop Tank C
;;33-TB-590;Slop Tank S
;;38-XX-001;Glycol Regeneration Package
;;39-PS-501;Cargo Oil Pump (1P)
;;39-PS-502;Cargo Oil Pump (1C)
;;39-PS-503;Cargo Oil Pump (1S)
;;39-PS-504;Cargo Oil Pump (2P)
;;39-PS-505;Cargo Oil Pump (2S)
;;39-PS-506;Cargo Oil Pump (3P)
;;39-PS-507;Cargo Oil Pump (3C)
;;39-PS-508;Cargo Oil Pump (3S)
;;39-PS-509;Cargo Oil Pump (4P)
;;39-PS-510;Cargo Oil Pump (4C)
;;39-PS-511;Cargo Oil Pump (4S)
