AREA;EQUIPMENT GROUP;TAG;DESCRIPTION;ABB TAG 1;ABB TAG 2;ABB TAG 3;ABB TAG 4
Oil Plant;Separators;SE-0101;HP separator;PT-7338;LSHH-4004;LT-4005;LSLL-4006
Oil Plant;Separators;SE-0102;MP separator;PIT-4120;LSHH-4104;LALL-4105;LSLL-4106
Oil Plant;Separators;SE-0104;Test separator;PIT-4220;LSHH-4204;LALL-4205;LSLL-4206
Oil Plant;Separators;SE-0105;Blane Inlet separator;PIT-20021;LIT-20029;LIT-20028;LIT-20031
Oil Plant;Separators;SE-0106;ODA Separator ;PIT-70021;LIT-70031;LIT-70028;LIT-70029
Oil Plant;Main Oil Line (MOL);Z-0108-A;MOL pumpe A;;;;
Oil Plant;Main Oil Line (MOL);Z-0108-B;MOL pumpe B;;;;
Oil Plant;Mol Booster;Z-0109-A;Booster pump A;;;;
Oil Plant;Mol Booster;Z-0109-B;Booster pump B;;;;
Oil Plant;Crude Oil Coolers;E-0107-A;Crude Oil Cooler A;;;;
Oil Plant;Oil Meetering;Z-0103;Meetering Eksport   ;;;;
Oil Plant;Oil Meetering;Z-0116;Meetering Test separator  ;;;;
Oil Plant;Oil Meetering;Z-0124;Meetering Blane;;;;
Oil Plant;Oil Meetering;Z-0126;Meetering Oda.;;;;
Oil Plant;Oil Meetering;Z-0143;Metering HP separator;;;;
Oil Plant;Oil Meetering;P-0153;HP sep. oil booster;PM-0153;;;
Oil Plant;Oil Pig Launcher;PL-0101;Pig Launcher;;;;
Water Injection;Pumps;P-0424 ;Booster pump A;PM-0424;;;
Water Injection;Pumps;P-0425;WI Pump A ;PM-0425;;;
Water Injection;Pumps;P-0426;Booster pump B;PM-0426;;;
Water Injection;Pumps;P-0427;WI Pump B;PM-0427;;;
Water Injection;Pumps;P-0411;Vacum pump deox.;PM-0411;;;
Water Injection;Pumps;P-0419;Vacum pump deox.;PM-0419;;;
Water Injection;Pumps;P-0446;ODA booster;PM-0446;;;
Water Injection;Pumps;P-0445;ODA WI pump;PM-0445;;;
Water Injection;Vessels;D-0402;Seawater Res. Drum;;;;
Water Injection;Vessels;DA-0401;De-Oxygenation Tower;;;;
Gas Plant;Turbines;Z-0702;UGU Gas Turbine;;;;
