AREA;EQUIPMENT GROUP;TAG;DESCRIPTION
Oil plant;Compressor;11-VA-9101;1.stg.sep
Oil plant;Compressor;11-VA-9103;Multipurpose
Oil plant;Compressor;11-VA-9102;2.stg.sep
Oil plant;Compressor;11-VD-9106;Well desander
Oil plant;Compressor;V-704;WP Testseparator
Oil plant;Export pump A;11-PA-9102;Export Pump A
Oil plant;Export pump A;11-PA-9148;Lube Oil Pump A
Oil plant;Export pump A;11-PA-9149;Lube Oil Pump B
Oil plant;Export pump A;11-PA-9150;Seal Oil Pump A
Oil plant;Export pump A;11-PA-9151;Seal Oil Pump B
Oil plant;Export pump A;11-HB-9112;Lube Oil Cooler 1
Oil plant;Export pump A;11-HB-9113;Lube Oil Cooler 2
Oil plant;Export pump A;11-HB-9114;Seal Oil Cooler 1
Oil plant;Export pump A;11-HB-9115;Seal Oil Cooler 2
Oil plant;Export pump B;11-PA-9138;Export Pump B
Oil plant;Export pump B;11-PA-9158;Lube Oil Pump A
Oil plant;Export pump B;11-PA-9159;Lube Oil Pump B
Oil plant;Export pump B;11-PA-9160;Seal Oil Pump A
Oil plant;Export pump B;11-PA-9161;Seal Oil Pump B
Oil plant;Export pump B;11-HB-9122;Lube Oil Cooler 1
Oil plant;Export pump B;11-HB-9123;Lube Oil Cooler 2
Oil plant;Export pump B;11-HB-9124;Seal Oil Cooler 1
Oil plant;Export pump B;11-HB-9125;Seal Oil Cooler 2
Oil plant;Booster pump A;11-PA-9101A;Oil Booster A
Oil plant;Booster pump A;11-PA-9152A;Seal Oil Pump 1
Oil plant;Booster pump A;11-PA-9153A;Seal Oil Pump 2
Oil plant;Booster pump A;11-HB-9116A;Seal Oil Cooler 1
Oil plant;Booster pump A;11-HB-9117A;Seal Oil Cooler 2
Oil plant;Booster pump B;11-PA-9101B;Oil Booster B
Oil plant;Booster pump B;11-PA-9152B;Seal Oil Pump 1
Oil plant;Booster pump B;11-PA-9153B;Seal Oil Pump 2
Oil plant;Booster pump B;11-HB-9116B;Seal Oil Cooler 1
Oil plant;Booster pump B;11-HB-9117B;Seal Oil Cooler 2
Oil plant;Heat Exchangers;11-HA-9101A;Inlet heater
Oil plant;Heat Exchangers;11-HA-9101B;Inlet heater
Oil plant;Heat Exchangers;11-HA-9102;Interstage heater
Oil plant;Pig launcher/receiver;11-VM-9101;Flanks receiver
Oil plant;Pig launcher/receiver;14-VM-9103;Ekofisk pig launcher
Oil plant;Pig launcher/receiver;11-VM-9103;VFW pig receiver
Oil plant;Sales Oil Metering;17-AE-95742A;Daily sampler 
Oil plant;Sales Oil Metering;17-AE-95742B;Daily sampler 
Oil plant;Sales Oil Metering;17-AE-95741A;Monthly Sampler
Oil plant;Sales Oil Metering;17-AE-95741B;Monthly sampler
Oil plant;Sales Oil Metering;17-PA-9144A;Export oil metering sampler pump
