ASSET_IDS,ASSET_NAME
2246017103354777,13-XX-002
5549390642779919,18-UD-180
5243042612482248,18-UD-280
1175141733812374,18-UD-380
5091001828127131,18-UD-580
7037853848492160,18-UD-680
3087260707079414,20-HA-001A
177650992357726,20-HA-001B
5859109778276984,20-HA-002
1414824796253180,20-HA-003A
6364832149881443,20-HA-003B
8948961417301437,20-HA-004
2007870786280987,20-PA-001A
6069594699293099,20-PA-001B
2558935726848943,20-PA-001C
7478381492258038,20-PG-010A
2645909509532153,20-PG-010B
5433543878392852,20-PG-010C
3383785248331245,20-VA-001
1395548288310122,20-VA-002
8271748567439840,20-VA-003
258717202360677,20-VA-004
1665303397963633,20-VJ-001
3343617409853925,21-JX-001
1863664117352158,21-JX-002
1678913425570706,21-JX-003
5011900820287298,21-S-0900
2039947993580934,23-KZ-001
2181462838012391,23-XX-001
5095837064238706,23-KZ-103
940154458341905,23-KZ-203
5264302654027839,23-XX-002
302315276233672,24-HA-001A
2277605496732295,24-HA-001B
6559961352541028,24-HA-001C
4919851511046747,24-HA-002
5673372761900167,24-VE-001
64824056618811,24-VG-001
3777254615885870,26-KZ-001
7610981573321628,26-VG-001
883002166002085,26-XX-002
5341749487487672,27-KZ-101
1113822413821394,27-VG-101
3811039428507201,27-KZ-201
7436782383205250,27-VG-201
6530404574369751,27-XX-001
8380942393572021,27-JX-001
5077732641937328,27-JX-002
3204667724406831,27-JX-003
6836788963923323,27-JZ-351
4219410081470658,27-FE-001
8402853733987980,33-TB-510
8304432950021708,33-TB-511
3303857238767703,33-TB-512
7636710520165244,33-TB-520
8905541619735594,33-TB-522
4371852566965735,33-TB-530
8853714226002572,33-TB-531
5595511757722118,33-TB-532
3547050868926844,33-TB-540
263099219600010,33-TB-541
6561411659011750,33-TB-542
8516179395304340,33-TB-550
3541820297947547,33-TB-551
8560180065787296,33-TB-552
8865327093838583,33-TB-560
5249257362198025,33-TB-561
2479262003013018,33-TB-562
277644498552640,33-TB-570
6496390827621749,33-TB-580
5158042403145362,33-TB-590
1404903428402786,38-XX-001
8647161025717473,39-PS-501
3558496084317408,39-PS-502
