ASSET_IDS,ASSET_NAME
8199714145677565,SE-0101
8479298333090448,SE-0102
4580933423928672,SE-0104
7008829117936597,SE-0105
4188171235478746,SE-0106
3368996907454927,Z-0108-A
2518415221815661,Z-0108-B
5600076233157268,Z-0109-A
7038155715089741,Z-0109-B
2217891307261475,Z-0103
7888087180212722,Z-0116
3317250867587681,Z-0124
7896942431577627,Z-0126
8508990705701612,Z-0143
2408766317636690,P-0153
4452526912503430,PL-0101
7584833158875967,P-0424
2913189348162338,P-0425
7301420016354155,P-0426
7492764565896991,P-0427
4821386363698535,P-0411
4222688250614789,P-0419
4903461995015797,P-0446
6656410395939350,P-0445
1428180191994476,D-0402
3483012751943360,Z-0702
5790812722819903,Z-0107
1633205361673031,Z-0112
3358980414270509,Z-0130
5516222031536436,D-0105
8740554503788540,D-0103
5973704621699752,D-0134
3119699127942603,D-0135
3180056353759709,D-0150
5688971543753315,D-0152
1176687756913352,E-0104
5909698843328510,E-0106
5655107606621616,E-0159
4547188679233845,E-0160
2122123480098472,E-0161
1943182531153851,E-0163
8559604924045875,E-0164
2352685711572100,E-0165
3457911947032855,E-0166
8187175437391992,E-0168
2629156593866662,Z-0118
4076150713508652,Z-0123
327034154262383,Z-0134
6370558012551370,P-0150-A
3827192845337753,P-0150-B
1752373525914084,P-0151-A
3156812388216343,P-0151-B
2453079105394293,Z-0101
8113419709187062,D-0801
525926517186611,D-0802
8182911507924382,PM-0122A
1387368782018667,PM-0122B
8870194804744576,PM-0121A
8909975241268486,PM-0121B
6777098397946638,PM-0126
6428017842843219,P-0104-A
4202737232248630,P-0104-B
5860485395979418,P-0135-A
6615105167984130,P-0135-B
7222523355292985,D-1501
8776587768601886,SE-1512-A
5007795133167761,SE-1512-B
3800701216848761,P-0601-A
8676514195279785,P-0601-B
2015712580294750,D-0602
6134499726002022,D-0604
6104792693721126,D-0605
1711315824912206,D-0606
1282809059347338,Z-1109
5722280876001640,P-1101-A
7845194977875166,P-1101-B
5862082384813112,C-1101-A
7057235683966344,C-1101-B
7783892910880224,C-1101-C
8301556462188775,Z-1802
864724032037671,Z-0113
3538089592293954,G-0701-A
4174263680906895,G-0701-B
550425070059979,G-0701-C
8289785573229588,Z-0501
6199310016273377,Z-0502
288744288466929,Z-0503
552226838672305,P-0201-A
351076174937585,P-0201-B
6907196382679875,P-0202
4007223731741089,P-0412-A
179054628971339,P-0412-B
2910831808684013,Z-0201
519620677665883,Z-0202
4041303806638917,PM-1502A
691488091757304,PM-1502B
7308296225294700,PM-1503A
3626068221490707,PM-1503B
8463323847380980,P-1509
3680888022188633,P-1511
6434372225416020,P-1514
8377158246171461,P-1515
860939695158700,PM-1516
149498471312734,TK-1503
8652455305701350,TK-1504
8967644825032523,TK-1505
5417230551759112,D-1502
1618520280223488,D-1503
6268598176112520,TK-1501
4661447539640009,PM-1201
4838394188316243,PM-1202A
2571543466856655,PM-1202B
8196870642617891,TK-1202
2109404918422713,TK-1201-B
2683746804343698,TK-1201-C
1936479636635406,TK-1201-D
7725264592513830,P-0109-A
2588909261623589,P-0109-B
4103551957274071,P-0110-A
397446187413084,P-0110-B
5518688255865782,P-0111
7749164621117138,P-0112
935441667189108,Z-0122
4776263608624874,Z-0111A
5319637445014717,P-0120-A
7469905940269603,P-0120-B
5729020890263905,Z-0140
4899060231681741,Z-0414
2841303857905747,Z-0416
6933599133677186,HU-0103-A
2834384909409602,HU-0109
5270520298666597,Z-7801
1992096264953079,Z-7802
4694964432874280,Z-72001
1673149587057415,PM-0301A
3102142169522109,PM-0301B
6311409275348526,TK-0301
4334631123806150,EG-0901
7158648208324878,EG-0902
7483507356961901,EG-0903
5459168843084656,P-01110
4890633140165819,P-01111-A
6710863466060361,P-01111-B
1531349970341919,P-01112-A
4284584992919187,P-01112-B
6380096018099022,HV-7359
5076512517910207,HV-7360
3767462945116476,HV-7374
2357823734832933,P-04101-A
5855725513500639,P-04101-B
4822871010966080,P-04103
2995848152706596,P-02101
5223664319045365,P-15103-A
7397658318439922,P-15103-B
5377249840221766,P-15104-A
1246312922038633,P-15104-B
8279422647088750,D-06101
536554695552906,XXV-10000
3905464382401005,P-01101-A
3589781723898324,P-01101-B
3924621694783873,P-01102-A
2290283010798687,P-01102-B
6522859532207323,P-01201-A
4043926383041661,P-01201-B
3851981290767065,P-01103
5259202858794134,CB-20901-A
7775986961805733,CB-20901-B
2679827620139469,CB-20902-A
3909514921022134,CB-20902-B
6001620956028382,CB-20903-A
5249304840588365,CB-20903-B
6449787280573667,CB-20904-A
3422073337031812,CB-20904-B
2817459484392531,CR-19101
8429478554233371,SC-21101
