TAG,FOUND,EXACT
PT-7338,Yes,Yes
LSHH-4004,Yes,Yes
LT-4005,Yes,Yes
LSLL-4006,Yes,Yes
PIT-4120,Yes,Yes
LSHH-4104,Yes,Yes
LALL-4105,Yes,Yes
LSLL-4106,Yes,Yes
PIT-4220,Yes,Yes
LSHH-4204,Yes,Yes
LALL-4205,Yes,Yes
LSLL-4206,Yes,Yes
PIT-20021,Yes,Yes
LIT-20029,Yes,Yes
LIT-20028,Yes,Yes
LIT-20031,Yes,Yes
PIT-70021,Yes,Yes
LIT-70031,Yes,Yes
LIT-70028,Yes,Yes
LIT-70029,Yes,Yes
Z-0108-A,No,No
Z-0108-B,No,No
Z-0109-A,No,No
Z-0109-B,No,No
E-0107-A,No,No
Z-0103,No,No
Z-0116,No,No
Z-0124,No,No
Z-0126,No,No
Z-0143,No,No
P-0153,Yes,Yes
PL-0101,No,No
P-0424,Yes,Yes
P-0425,Yes,Yes
P-0426,Yes,Yes
P-0427,Yes,Yes
P-0411,Yes,No
P-0419,Yes,No
P-0446,Yes,Yes
P-0445,Yes,Yes
D-0402,No,No
DA-0401,No,No
Z-0702,No,No
Z-0107,No,No
Z-0112,No,No
Z-0130,No,No
D-0105,No,No
D-0103,No,No
D-0134,No,No
D-0135,No,No
D-0150,No,No
D-0151,No,No
D-0152,No,No
D-0137,No,No
E-0103-A,No,No
E-0103-B,No,No
E-0104,No,No
E-0105-A,No,No
E-0105-B,No,No
E-0106,No,No
E-0108,No,No
E-0159,No,No
E-0160,No,No
E-0161,No,No
E-0163,No,No
E-0164,Yes,No
E-0165,Yes,No
E-0166,Yes,No
E-0167,No,No
E-0168,No,No
E-0169,No,No
Z-0118,No,No
Z-0123,No,No
Z-0125,No,No
Z-0139,No,No
Z-0134,No,No
P-0150-A,No,No
P-0150-B,No,No
P-0151-A,No,No
P-0151-B,No,No
E-0170,No,No
E-0171,No,No
E-0173,No,No
E-0172,No,No
E-0174,No,No
Z-0101,No,No
D-0801,No,No
D-0802,No,No
P-0122-A,Yes,Yes
P-0122-B,Yes,Yes
P-0121-A,Yes,Yes
P-0121-B,Yes,Yes
P-0126,Yes,Yes
P-0104-A,Yes,Yes
P-0104-B,Yes,Yes
P-0135-A,Yes,No
P-0135-B,Yes,No
D-1501,No,No
E-1501-A,No,No
E-1501-B,No,No
E-1501-C,No,No
SE-1501,No,No
SE-1502,No,No
SE-1503,No,No
SE-1505,No,No
SE-1506,No,No
SE-1507,No,No
SE-1508,No,No
SE-1509,No,No
