TAG,FOUND,EXACT
11-VA-9101,No,No
11-VA-9103,No,No
11-VA-9102,No,No
11-VD-9106,No,No
V-704,No,No
11-PA-9102,Yes,No
11-PA-9148,Yes,No
11-PA-9149,Yes,No
11-PA-9150,Yes,No
11-PA-9151,Yes,No
11-HB-9112,No,No
11-HB-9113,No,No
11-HB-9114,No,No
11-HB-9115,No,No
11-PA-9138,Yes,No
11-PA-9158,Yes,No
11-PA-9159,Yes,No
11-PA-9160,Yes,No
11-PA-9161,Yes,No
11-HB-9122,No,No
11-HB-9123,No,No
11-HB-9124,No,No
11-HB-9125,No,No
11-PA-9101A,Yes,No
11-PA-9152A,Yes,No
11-PA-9153A,Yes,No
11-HB-9116A,No,No
11-HB-9117A,No,No
11-PA-9101B,Yes,No
11-PA-9152B,Yes,No
11-PA-9153B,Yes,No
11-HB-9116B,No,No
11-HB-9117B,No,No
11-HA-9101A,No,No
11-HA-9101B,No,No
11-HA-9102,No,No
11-VM-9101,No,No
14-VM-9103,No,No
11-VM-9103,No,No
17-AE-95742A,No,No
17-AE-95742B,No,No
17-AE-95741A,No,No
17-AE-95741B,No,No
17-PA-9144A,Yes,No
17-PA-9144B,Yes,No
17-PF-9106,No,No
17-PF-9107,No,No
17-AX-95741A,No,No
17-AX-95741B,No,No
17-AX-95742A,No,No
17-AX-95742B,No,No
18-PA-8010,Yes,No
18-PA-8030,Yes,No
18-PA-8050,Yes,No
18-PA-8070,Yes,No
84-XX-8030,No,No
84-CA-8010,Yes,No
84-KF-8030,Yes,No
43-PB-9117A,No,No
43-PB-9117B,No,No
43-PB-9108,Yes,Yes
43-PB-9116A,No,No
43-PB-9116B,No,No
43-PB-9109A,No,No
43-PB-9109B,No,No
23-KA-9101,Yes,No
23-PC-9101,No,No
23-PC-9109,Yes,No
23-KB-9103,No,No
23-FE-9121,No,No
23-GK-9107A,Yes,No
23-GK-9107B,Yes,No
23-HA-9107A,No,No
23-HA-9107B,No,No
23-CB-9104A,No,No
23-CB-9104B,No,No
23-KA-9102,Yes,No
23-PC-9102,No,No
23-PC-9110,Yes,No
23-KB-9104,No,No
23-FE-9122,Yes,No
23-GK-9108A,Yes,No
23-GK-9108B,Yes,No
23-HA-9108A,No,No
23-HA-9108B,No,No
23-CB-9106A,No,No
23-CB-9106B,No,No
23-KA-9103,Yes,No
23-PC-9103,No,No
23-PC-9111,Yes,No
23-KB-9105,No,No
23-FE-9123,Yes,No
23-GK-9109A,Yes,No
23-GK-9109B,Yes,No
23-HA-9109A,No,No
23-HA-9109B,No,No
23-CB-9108A,No,No
23-CB-9108B,No,No
27-KA-9104,Yes,No
27-PC-9104,No,No
27-PC-9112,Yes,No
27-KB-9106,No,No
27-FE-9125,Yes,No
27-GK-9110A,Yes,No
27-GK-9110B,Yes,No
27-HA-9110A,No,No
27-HA-9110B,No,No
27-CB-9110A,No,No
27-CB-9110B,No,No
27-AT-93008A,Yes,Yes
27-FV-92943,Yes,Yes
23-CQ-9101,No,No
23-HA-9103,No,No
23-VG-9101,No,No
23-HA-9114,No,No
23-HA-9115,No,No
23-VG-9102,No,No
23-HX-9103A,No,No
23-HX-9103B,No,No
23-HX-9103C,No,No
23-HX-9103D,No,No
23-HX-9114,No,No
23-VG-9103,No,No
24-HX-9104,No,No
25-HX-9105A,No,No
25-HX-9105B,No,No
25-VA-9106,No,No
25-PV-92921A,No,No
25-PV-92921B,No,No
27-HX-9107,No,No
24-VG-9106,No,No
24-VE-9101,No,No
32-VD-9108,No,No
32-CB-9101,No,No
32-VJ-9104,No,No
32-HA-9117,No,No
32-HA-9116,No,No
32-VE-9103,No,No
32-VD-9109,No,No
32-HI-9101,No,No
32-HE-9103,No,No
32-VA-9109,No,No
32-PF-9104A,Yes,No
32-PF-9104B,Yes,No
32-PB-9115A,Yes,No
32-PB-9115B,Yes,No
32-CQ-9103,No,No
32-PB-9130,Yes,No
32-PB-9131,Yes,No
46-CB-9137A,No,No
46-CB-9137B,No,No
43-PB-9112,Yes,Yes
13-VE-9102,No,No
13-HI-9102,No,No
13-PA-9103,Yes,No
13-PA-9146,Yes,No
13-PA-9147,Yes,No
13-HB-9118,No,No
13-HB-9119,No,No
13-PA-9137,Yes,No
13-PA-9156,Yes,No
13-PA-9157,Yes,No
13-HB-9120,No,No
13-HB-9121,No,No
80-VD-8010A,No,No
80-VD-8010B,No,No
80-VD-8010C,No,No
80-VD-8010D,No,No
80-VD-8020,No,No
80-VD-7010A,No,No
80-VD-7010B,No,No
80-VD-7011,No,No
80-CJ-7020,No,No
85-VD-9107,No,No
85-VD-9110,No,No
85-VD-9112,No,No
80-PA-9111A,Yes,No
80-PA-9111B,Yes,No
80-PA-8120A,Yes,No
80-PA-8120B,Yes,No
80-PA-7011A,Yes,Yes
80-PA-7011B,Yes,Yes
80-PA-8015A,Yes,No
80-PA-8015B,Yes,No
80-PA-8746A,Yes,Yes
80-PA-8746B,Yes,Yes
60-PA-9163,Yes,No
60-PA-9164,Yes,No
85-PA-9135A,Yes,No
85-PA-9135B,Yes,No
85-PA-9118A,Yes,No
85-PA-9118B,Yes,No
85-CA-9120A,Yes,No
85-CA-9120B,Yes,No
