time,priority 1,pri1 / min,% of total pri1,priority 2,pri2 / min,% of total pri2,priority 3,pri3 / min,% of total pri3
2023-10-17 02:50:00,12,1.2,1.77,0,0.0,0.0,22,2.2,2.39
2023-10-17 03:00:00,7,0.7,1.03,0,0.0,0.0,7,0.7,0.76
2023-10-17 03:10:00,15,1.5,2.21,18,1.8,3.47,16,1.6,1.74
2023-10-17 03:20:00,9,0.9,1.33,0,0.0,0.0,17,1.7,1.85
2023-10-17 03:30:00,14,1.4,2.06,2,0.2,0.39,16,1.6,1.74
2023-10-17 03:40:00,12,1.2,1.77,10,1.0,1.93,19,1.9,2.07
2023-10-17 03:50:00,14,1.4,2.06,26,2.6,5.02,25,2.5,2.72
2023-10-17 04:00:00,13,1.3,1.91,0,0.0,0.0,16,1.6,1.74
2023-10-17 04:10:00,13,1.3,1.91,16,1.6,3.09,15,1.5,1.63
2023-10-17 04:20:00,15,1.5,2.21,0,0.0,0.0,18,1.8,1.96
2023-10-17 04:30:00,8,0.8,1.18,3,0.3,0.58,8,0.8,0.87
2023-10-17 04:40:00,15,1.5,2.21,11,1.1,2.12,17,1.7,1.85
2023-10-17 04:50:00,8,0.8,1.18,0,0.0,0.0,11,1.1,1.2
2023-10-17 05:00:00,11,1.1,1.62,0,0.0,0.0,11,1.1,1.2
2023-10-17 05:10:00,15,1.5,2.21,4,0.4,0.77,16,1.6,1.74
2023-10-17 05:20:00,17,1.7,2.5,0,0.0,0.0,19,1.9,2.07
2023-10-17 05:30:00,7,0.7,1.03,5,0.5,0.97,10,1.0,1.09
2023-10-17 05:40:00,18,1.8,2.65,11,1.1,2.12,22,2.2,2.39
2023-10-17 05:50:00,2,0.2,0.29,5,0.5,0.97,7,0.7,0.76
2023-10-17 06:00:00,12,1.2,1.77,12,1.2,2.32,14,1.4,1.52
2023-10-17 06:10:00,19,1.9,2.8,11,1.1,2.12,40,4.0,4.35
2023-10-17 06:20:00,15,1.5,2.21,2,0.2,0.39,27,2.7,2.94
2023-10-17 06:30:00,6,0.6,0.88,16,1.6,3.09,16,1.6,1.74
2023-10-17 06:40:00,11,1.1,1.62,13,1.3,2.51,15,1.5,1.63
2023-10-17 06:50:00,11,1.1,1.62,5,0.5,0.97,21,2.1,2.29
2023-10-17 07:00:00,11,1.1,1.62,28,2.8,5.41,11,1.1,1.2
2023-10-17 07:10:00,11,1.1,1.62,11,1.1,2.12,19,1.9,2.07
2023-10-17 07:20:00,6,0.6,0.88,6,0.6,1.16,7,0.7,0.76
2023-10-17 07:30:00,10,1.0,1.47,10,1.0,1.93,11,1.1,1.2
2023-10-17 07:40:00,2,0.2,0.29,9,0.9,1.74,3,0.3,0.33
2023-10-17 07:50:00,3,0.3,0.44,6,0.6,1.16,7,0.7,0.76
2023-10-17 08:00:00,1,0.1,0.15,17,1.7,3.28,2,0.2,0.22
2023-10-17 08:10:00,5,0.5,0.74,0,0.0,0.0,9,0.9,0.98
2023-10-17 08:20:00,10,1.0,1.47,8,0.8,1.54,13,1.3,1.41
2023-10-17 08:30:00,7,0.7,1.03,11,1.1,2.12,16,1.6,1.74
2023-10-17 08:40:00,13,1.3,1.91,2,0.2,0.39,15,1.5,1.63
2023-10-17 08:50:00,31,3.1,4.57,13,1.3,2.51,28,2.8,3.05
2023-10-17 09:00:00,21,2.1,3.09,20,2.0,3.86,17,1.7,1.85
2023-10-17 09:10:00,22,2.2,3.24,1,0.1,0.19,20,2.0,2.18
2023-10-17 09:20:00,20,2.0,2.95,7,0.7,1.35,21,2.1,2.29
2023-10-17 09:30:00,11,1.1,1.62,11,1.1,2.12,14,1.4,1.52
2023-10-17 09:40:00,21,2.1,3.09,4,0.4,0.77,15,1.5,1.63
2023-10-17 09:50:00,12,1.2,1.77,21,2.1,4.05,5,0.5,0.54
2023-10-17 10:00:00,15,1.5,2.21,4,0.4,0.77,11,1.1,1.2
2023-10-17 10:10:00,12,1.2,1.77,0,0.0,0.0,11,1.1,1.2
2023-10-17 10:20:00,10,1.0,1.47,12,1.2,2.32,5,0.5,0.54
2023-10-17 10:30:00,11,1.1,1.62,0,0.0,0.0,21,2.1,2.29
2023-10-17 10:40:00,1,0.1,0.15,8,0.8,1.54,5,0.5,0.54
2023-10-17 10:50:00,11,1.1,1.62,19,1.9,3.67,20,2.0,2.18
2023-10-17 11:00:00,4,0.4,0.59,1,0.1,0.19,4,0.4,0.44
2023-10-17 11:10:00,5,0.5,0.74,0,0.0,0.0,5,0.5,0.54
2023-10-17 11:20:00,5,0.5,0.74,14,1.4,2.7,5,0.5,0.54
2023-10-17 11:30:00,2,0.2,0.29,0,0.0,0.0,7,0.7,0.76
2023-10-17 11:40:00,3,0.3,0.44,1,0.1,0.19,4,0.4,0.44
2023-10-17 11:50:00,10,1.0,1.47,13,1.3,2.51,10,1.0,1.09
2023-10-17 12:00:00,9,0.9,1.33,22,2.2,4.25,37,3.7,4.03
2023-10-17 12:10:00,16,1.6,2.36,12,1.2,2.32,20,2.0,2.18
2023-10-17 12:20:00,9,0.9,1.33,7,0.7,1.35,35,3.5,3.81
2023-10-17 12:30:00,17,1.7,2.5,2,0.2,0.39,17,1.7,1.85
2023-10-17 12:40:00,15,1.5,2.21,25,2.5,4.83,22,2.2,2.39
2023-10-17 12:50:00,8,0.8,1.18,23,2.3,4.44,22,2.2,2.39
